"species","GCA","analysis_node","filtered_microRNA_score","N50","BUSCO_filled","BUSCO_Score","MirMachine.version","Total.families.searched","miRNA.score","Model"
"Acomys_percivali","GCA_964186705.1","Muridae",67.37,26565,"C:95.5%[S:92.1%,D:3.4%],F:1.1%,M:3.4%,n:13798",95.5,"0.2.13",236,76.8116,"deutero"
"Endotricha_flammealis","GCA_905163395.2","Lepidoptera",76.12,3020129,"C:96.4%[S:93.8%,D:2.6%],F:1.9%,M:1.7%,n:5286",96.4,"0.2.13",67,82.2581,"proto"
"Equus_asinus","GCA_016077325.2","Laurasiatheria",80.65,25073460,"C:95.7%[S:95.1%,D:0.6%],F:1.7%,M:2.6%,n:12234",95.7,"0.2.13",217,92.1053,"deutero"
"Andrena_bucephala","GCA_947577245.1","Endopterygota",65.62,7988040,"C:93.7%[S:93.3%,D:0.4%],F:2.4%,M:3.9%,n:5991",93.7,"0.2.13",64,68.8525,"proto"
"Eupithecia_exiguata","GCA_947086475.1","Lepidoptera",67.16,441991,"C:93.1%[S:89.2%,D:3.9%],F:2.6%,M:4.3%,n:5286",93.1,"0.2.13",67,72.5806,"proto"
"Limnoperna_fortunei","GCA_944589985.1","Mollusca",90.38,1576211,"C:92.8%[S:82.2%,D:10.6%],F:1.7%,M:5.5%,n:5295",92.8,"0.2.13",52,90.3846,"proto"
"Macaca_thibetana_thibetana","GCA_024542745.1","Catarrhini",82.86,48622411,"C:96.0%[S:95.5%,D:0.5%],F:1.1%,M:2.9%,n:13780",96,"0.2.13",245,97.5962,"deutero"
"Stomorhina_lunata","GCA_933228635.1","Diptera",64.18,471405,"C:96.9%[S:95.4%,D:1.5%],F:0.9%,M:2.2%,n:3285",96.9,"0.2.13",67,69.3548,"proto"
"Abramis_brama","GCA_022829085.1","Clupeocephala",81.58,10167936,"C:95.7%[S:93.3%,D:2.4%],F:0.4%,M:3.9%,n:3640",95.7,"0.2.13",114,92.0792,"deutero"
"Lasius_platythorax","GCA_963971435.1","Endopterygota",67.19,570517,"C:93.9%[S:93.5%,D:0.4%],F:2.8%,M:3.3%,n:5991",93.9,"0.2.13",64,70.4918,"proto"
"Lasius_platythorax","GCA_963971435.1","Endopterygota",67.19,570517,"C:93.9%[S:93.5%,D:0.4%],F:2.8%,M:3.3%,n:5991",93.9,"0.2.13",64,70.4918,"proto"
"Lasius_platythorax","GCA_963971435.1","Endopterygota",67.19,570517,"C:93.9%[S:93.5%,D:0.4%],F:2.8%,M:3.3%,n:5991",93.9,"0.2.13",64,70.4918,"proto"
"Lasius_platythorax","GCA_963971435.1","Endopterygota",67.19,570517,"C:93.9%[S:93.5%,D:0.4%],F:2.8%,M:3.3%,n:5991",93.9,"0.2.13",64,70.4918,"proto"
"Neria_commutata","GCA_963457695.1","Diptera",71.64,3039449,"C:95.2%[S:84.6%,D:10.6%],F:1.2%,M:3.6%,n:3285",95.2,"0.2.13",67,77.4194,"proto"
"Pterostichus_niger","GCA_947425015.1","Endopterygota",70.31,2834613,"C:94.2%[S:93.6%,D:0.6%],F:0.5%,M:5.3%,n:2124",94.2,"0.2.13",64,73.7705,"proto"
"Homo_sapiens","GCA_042077745.1","Catarrhini",84.49,108605997,"C:98.9%[S:98.4%,D:0.5%],F:0.4%,M:0.7%,n:13780",98.9,"0.2.13",245,99.5192,"deutero"
"Aporia_crataegi","GCA_912999735.1","Lepidoptera",71.64,9626953,"C:96.4%[S:95.7%,D:0.7%],F:0.7%,M:2.9%,n:5286",96.4,"0.2.13",67,77.4194,"proto"
"Eupeodes_corollae","GCA_945859685.1","Diptera",76.12,2287194,"C:96.2%[S:95.3%,D:0.9%],F:0.8%,M:3.0%,n:3285",96.2,"0.2.13",67,82.2581,"proto"
"Furcula_furcula","GCA_911728485.2","Lepidoptera",71.64,1230990,"C:92.5%[S:89.5%,D:3.0%],F:3.2%,M:4.3%,n:5286",92.5,"0.2.13",67,77.4194,"proto"
"Andrena_minutula","GCA_929113085.1","Endopterygota",48.44,1544802,"C:70.1%[S:69.5%,D:0.6%],F:1.4%,M:28.5%,n:5991",70.1,"0.2.13",64,50.8197,"proto"
"Morus_bassanus","GCA_031468805.1","Neoaves",83.72,9126423,"C:91.8%[S:91.4%,D:0.4%],F:2.4%,M:5.8%,n:8338",91.8,"0.2.13",129,94.7368,"deutero"
"Apotomis_betuletana","GCA_932273875.1","Lepidoptera",73.13,1879891,"C:92.6%[S:89.9%,D:2.7%],F:2.9%,M:4.5%,n:5286",92.6,"0.2.13",67,79.0323,"proto"
"Gandaritis_pyraliata","GCA_947859175.1","Lepidoptera",68.66,8287154,"C:95.2%[S:91.9%,D:3.3%],F:1.8%,M:3.0%,n:5286",95.2,"0.2.13",67,74.1935,"proto"
"Cosmia_trapezina","GCA_905163495.2","Lepidoptera",70.15,7584852,"C:93.6%[S:90.6%,D:3.0%],F:2.8%,M:3.6%,n:5286",93.6,"0.2.13",67,75.8065,"proto"
"Bembecia_ichneumoniformis","GCA_910589565.1","Lepidoptera",47.76,331879,"C:80.5%[S:79.1%,D:1.4%],F:1.5%,M:18.0%,n:5286",80.5,"0.2.13",67,51.6129,"proto"
"Siderastrea_radians","GCA_964017195.1","Cnidaria",33.33,4187519,"C:94.9%[S:92.6%,D:2.3%],F:2.6%,M:2.5%,n:954",94.9,"0.2.13",3,33.3333,"combined"
"Plagiodera_versicolora","GCA_963584125.1","Endopterygota",75,4745322,"C:96.3%[S:95.5%,D:0.8%],F:1.0%,M:2.7%,n:2124",96.3,"0.2.13",64,78.6885,"proto"
"Marasmarcha_lunaedactyla","GCA_923062675.1","Lepidoptera",65.67,25480979,"C:91.7%[S:89.1%,D:2.6%],F:3.4%,M:4.9%,n:5286",91.7,"0.2.13",67,70.9677,"proto"
"Peromyscus_leucopus","GCA_004664715.1","Glires",72.27,4102727,"C:94.9%[S:92.8%,D:2.1%],F:1.3%,M:3.8%,n:12692",94.9,"0.2.13",220,83.2461,"deutero"
"Cybosia_mesomella","GCA_946251805.1","Lepidoptera",70.15,9050000,"C:91.1%[S:88.3%,D:2.8%],F:4.4%,M:4.5%,n:5286",91.1,"0.2.13",67,75.8065,"proto"
"Dimorphilus_gyrociliatus","GCA_904063045.1","Annelida",48.44,979161,"C:91.8%[S:89.5%,D:2.3%],F:1.3%,M:6.9%,n:954",91.8,"0.2.13",64,48.4375,"proto"
"Peromyscus_eremicus","GCA_902702925.1","Glires",68.64,64291,"C:85.8%[S:84.1%,D:1.7%],F:4.3%,M:9.9%,n:12692",85.8,"0.2.13",220,79.0576,"deutero"
"Lycia_hirtaria","GCA_947563715.1","Lepidoptera",70.15,11784587,"C:93.0%[S:89.6%,D:3.4%],F:2.9%,M:4.1%,n:5286",93,"0.2.13",67,75.8065,"proto"
"Apoderus_coryli","GCA_911728435.2","Endopterygota",71.88,15031106,"C:96.6%[S:90.7%,D:5.9%],F:1.8%,M:1.6%,n:2124",96.6,"0.2.13",64,75.4098,"proto"
"Andrena_marginata","GCA_963932335.1","Endopterygota",68.75,5295853,"C:92.0%[S:91.6%,D:0.4%],F:3.5%,M:4.5%,n:5991",92,"0.2.13",64,72.1311,"proto"
"Oryctolagus_cuniculus_cuniculus","GCA_013371645.1","Glires",79.09,1879078,"C:89.9%[S:87.5%,D:2.4%],F:3.1%,M:7.0%,n:13798",89.9,"0.2.13",220,91.0995,"deutero"
"Synanthedon_tipuliformis","GCA_947623395.1","Lepidoptera",70.15,9776511,"C:95.5%[S:94.7%,D:0.8%],F:0.8%,M:3.7%,n:5286",95.5,"0.2.13",67,75.8065,"proto"
"Erebia_aethiops","GCA_923060345.1","Lepidoptera",73.13,21423644,"C:94.0%[S:91.8%,D:2.2%],F:2.9%,M:3.1%,n:5286",94,"0.2.13",67,79.0323,"proto"
"Ovis_aries","GCA_018804185.1","Laurasiatheria",77.42,85264699,"C:96.3%[S:94.6%,D:1.7%],F:1.3%,M:2.4%,n:13335",96.3,"0.2.13",217,88.4211,"deutero"
"Lanistes_nyassanus","GCA_004794575.1","Mollusca",75,25785,"C:88.7%[S:87.5%,D:1.2%],F:2.3%,M:9.0%,n:5295",88.7,"0.2.13",52,75,"proto"
"Watsonalla_binaria","GCA_929442715.1","Lepidoptera",70.15,1095795,"C:89.7%[S:87.2%,D:2.5%],F:2.3%,M:8.0%,n:5286",89.7,"0.2.13",67,75.8065,"proto"
"Cheilosia_vernalis","GCA_949126925.1","Diptera",76.12,9620535,"C:94.0%[S:86.7%,D:7.3%],F:2.3%,M:3.7%,n:3285",94,"0.2.13",67,82.2581,"proto"
"Nysson_spinosus","GCA_910591465.1","Endopterygota",71.88,3134880,"C:94.8%[S:94.3%,D:0.5%],F:1.0%,M:4.2%,n:5991",94.8,"0.2.13",64,75.4098,"proto"
"Epinotia_bilunana","GCA_947049275.1","Lepidoptera",73.13,8321754,"C:90.1%[S:86.8%,D:3.3%],F:4.0%,M:5.9%,n:5286",90.1,"0.2.13",67,79.0323,"proto"
"Euclidia_mi","GCA_944738845.2","Lepidoptera",73.13,2616949,"C:94.3%[S:90.7%,D:3.6%],F:1.4%,M:4.3%,n:5286",94.3,"0.2.13",67,79.0323,"proto"
"Vanessa_atalanta","GCA_905147705.2","Lepidoptera",76.12,5095203,"C:91.7%[S:91.4%,D:0.3%],F:0.7%,M:7.6%,n:5286",91.7,"0.2.13",67,82.2581,"proto"
"Cheilosia_vulpina","GCA_916610125.1","Diptera",76.12,45551726,"C:94.2%[S:89.8%,D:4.4%],F:2.0%,M:3.8%,n:3285",94.2,"0.2.13",67,82.2581,"proto"
"Caradrina_clavipalpis","GCA_932526345.1","Lepidoptera",68.66,7940308,"C:97.3%[S:96.8%,D:0.5%],F:0.9%,M:1.8%,n:5286",97.3,"0.2.13",67,74.1935,"proto"
"Formica_aserva","GCA_037039905.1","Endopterygota",68.75,1209181,"C:94.3%[S:91.4%,D:2.9%],F:2.1%,M:3.6%,n:5991",94.3,"0.2.13",64,72.1311,"proto"
"Synanthedon_andrenaeformis","GCA_936446665.1","Lepidoptera",70.15,11320543,"C:94.0%[S:91.3%,D:2.7%],F:2.4%,M:3.6%,n:5286",94,"0.2.13",67,75.8065,"proto"
"Anguilla_rostrata","GCA_018555375.2","Neopterygii",81.98,5018377,"C:90.2%[S:81.9%,D:8.3%],F:3.9%,M:5.9%,n:3640",90.2,"0.2.13",111,92.8571,"deutero"
"Morus_bassanus","GCA_031468815.1","Neoaves",84.5,10178591,"C:91.6%[S:91.1%,D:0.5%],F:2.4%,M:6.0%,n:8338",91.6,"0.2.13",129,95.614,"deutero"
"Pan_paniscus","GCA_029289425.2","Catarrhini",83.27,147028407,"C:97.0%[S:96.2%,D:0.8%],F:1.4%,M:1.6%,n:12692",97,"0.2.13",245,98.0769,"deutero"
"Zeuzera_pyrina","GCA_907165255.1","Lepidoptera",71.64,342341,"C:85.7%[S:83.1%,D:2.6%],F:5.3%,M:9.0%,n:5286",85.7,"0.2.13",67,77.4194,"proto"
"Harpalus_rubripes","GCA_963082715.1","Endopterygota",75,5994626,"C:95.9%[S:91.1%,D:4.8%],F:2.1%,M:2.0%,n:2124",95.9,"0.2.13",64,78.6885,"proto"
"Orthosia_gracilis","GCA_947562075.1","Lepidoptera",71.64,14109635,"C:91.8%[S:87.6%,D:4.2%],F:3.3%,M:4.9%,n:5286",91.8,"0.2.13",67,77.4194,"proto"
"Cavia_tschudii","GCA_004027695.1","Glires",80,64807,"C:83.0%[S:82.3%,D:0.7%],F:6.3%,M:10.7%,n:12692",83,"0.2.13",220,92.1466,"deutero"
"Lateolabrax_maculatus","GCA_031216445.1","Clupeocephala",85.96,27954791,"C:96.6%[S:95.8%,D:0.8%],F:1.1%,M:2.3%,n:3640",96.6,"0.2.13",114,97.0297,"deutero"
"Phania_funesta","GCA_963932375.1","Diptera",70.15,11699856,"C:95.7%[S:91.2%,D:4.5%],F:2.7%,M:1.6%,n:3285",95.7,"0.2.13",67,75.8065,"proto"
"Anthocharis_cardamines","GCA_905404305.1","Lepidoptera",70.15,3354000,"C:90.2%[S:89.6%,D:0.6%],F:0.9%,M:8.9%,n:5286",90.2,"0.2.13",67,75.8065,"proto"
"Agapetus_fuscipes","GCA_951799405.1","Endopterygota",67.19,1629991,"C:95.2%[S:93.5%,D:1.7%],F:2.1%,M:2.7%,n:2124",95.2,"0.2.13",64,70.4918,"proto"
"Astyanax_mexicanus","GCA_023375975.1","Clupeocephala",78.07,47087582,"C:97.9%[S:96.9%,D:1.0%],F:0.7%,M:1.4%,n:3640",97.9,"0.2.13",114,88.1188,"deutero"
"Salarias_fasciatus","GCA_902148845.1","Clupeocephala",85.96,2597836,"C:92.4%[S:86.7%,D:5.7%],F:2.4%,M:5.2%,n:3640",92.4,"0.2.13",114,97.0297,"deutero"
"Homo_sapiens","GCA_009914755.4","Catarrhini",84.49,150617247,"C:99.1%[S:98.8%,D:0.3%],F:0.2%,M:0.7%,n:13780",99.1,"0.2.13",245,99.5192,"deutero"
"Erebia_aethiops","GCA_923062935.2","Lepidoptera",70.15,608288,"C:87.0%[S:84.3%,D:2.7%],F:2.5%,M:10.5%,n:5286",87,"0.2.13",67,75.8065,"proto"
"Tetheella_fluctuosa","GCA_951216915.1","Lepidoptera",76.12,8785854,"C:94.9%[S:91.6%,D:3.3%],F:2.2%,M:2.9%,n:5286",94.9,"0.2.13",67,82.2581,"proto"
"Idaea_dimidiata","GCA_949358575.1","Lepidoptera",68.66,4628752,"C:95.4%[S:91.9%,D:3.5%],F:1.8%,M:2.8%,n:5286",95.4,"0.2.13",67,74.1935,"proto"
"Liopterus_haemorrhoidalis","GCA_963971575.1","Endopterygota",70.31,2239306,"C:94.1%[S:92.6%,D:1.5%],F:2.6%,M:3.3%,n:2124",94.1,"0.2.13",64,73.7705,"proto"
"Liopterus_haemorrhoidalis","GCA_963971575.1","Endopterygota",70.31,2239306,"C:94.1%[S:92.6%,D:1.5%],F:2.6%,M:3.3%,n:2124",94.1,"0.2.13",64,73.7705,"proto"
"Liopterus_haemorrhoidalis","GCA_963971575.1","Endopterygota",70.31,2239306,"C:94.1%[S:92.6%,D:1.5%],F:2.6%,M:3.3%,n:2124",94.1,"0.2.13",64,73.7705,"proto"
"Liopterus_haemorrhoidalis","GCA_963971575.1","Endopterygota",70.31,2239306,"C:94.1%[S:92.6%,D:1.5%],F:2.6%,M:3.3%,n:2124",94.1,"0.2.13",64,73.7705,"proto"
"Callimorpha_dominula","GCA_949752705.1","Lepidoptera",74.63,9439834,"C:93.6%[S:89.8%,D:3.8%],F:3.0%,M:3.4%,n:5286",93.6,"0.2.13",67,80.6452,"proto"
"Lochmaea_capreae","GCA_949126875.1","Endopterygota",75,9517382,"C:97.3%[S:96.4%,D:0.9%],F:0.5%,M:2.2%,n:2124",97.3,"0.2.13",64,78.6885,"proto"
"Tholera_decimalis","GCA_943138885.1","Lepidoptera",70.15,9389367,"C:97.3%[S:96.3%,D:1.0%],F:0.9%,M:1.8%,n:5286",97.3,"0.2.13",67,75.8065,"proto"
"Bombylius_major","GCA_932526495.1","Diptera",73.13,18803170,"C:94.5%[S:93.3%,D:1.2%],F:0.7%,M:4.8%,n:3285",94.5,"0.2.13",67,79.0323,"proto"
"Homo_sapiens","GCA_018472595.1","Catarrhini",84.49,48061544,"C:99.0%[S:98.6%,D:0.4%],F:0.2%,M:0.8%,n:13780",99,"0.2.13",245,99.5192,"deutero"
"Philonthus_cognatus","GCA_932526585.1","Endopterygota",75,29486216,"C:92.6%[S:88.7%,D:3.9%],F:4.6%,M:2.8%,n:2124",92.6,"0.2.13",64,78.6885,"proto"
"Miichthys_miiuy","GCA_036365135.1","Clupeocephala",85.96,2496000,"C:93.1%[S:91.2%,D:1.9%],F:2.3%,M:4.6%,n:3640",93.1,"0.2.13",114,97.0297,"deutero"
"Epinotia_ramella","GCA_947578815.1","Lepidoptera",71.64,13995162,"C:90.6%[S:86.5%,D:4.1%],F:3.9%,M:5.5%,n:5286",90.6,"0.2.13",67,77.4194,"proto"
"Cydia_strobilella","GCA_947568895.1","Lepidoptera",74.63,2810164,"C:94.9%[S:93.7%,D:1.2%],F:1.2%,M:3.9%,n:5286",94.9,"0.2.13",67,80.6452,"proto"
"Ligdia_adustata","GCA_947049295.1","Lepidoptera",74.63,12895190,"C:94.0%[S:91.1%,D:2.9%],F:2.0%,M:4.0%,n:5286",94,"0.2.13",67,80.6452,"proto"
"Oryzias_latipes","GCA_947078835.1","Clupeocephala",80.7,1329554,"C:95.7%[S:94.7%,D:1.0%],F:1.5%,M:2.8%,n:3640",95.7,"0.2.13",114,91.0891,"deutero"
"Oxyura_jamaicensis","GCA_011077185.1","Neognathae",78.12,128592,"C:93.6%[S:92.4%,D:1.2%],F:2.4%,M:4.0%,n:8338",93.6,"0.2.13",128,88.4956,"deutero"
"Yponomeuta_cagnagella","GCA_947310355.1","Lepidoptera",64.18,3172057,"C:90.0%[S:89.2%,D:0.8%],F:1.0%,M:9.0%,n:5286",90,"0.2.13",67,69.3548,"proto"
"Yponomeuta_plumbellus","GCA_947310575.1","Lepidoptera",70.15,679964,"C:93.3%[S:91.7%,D:1.6%],F:1.3%,M:5.4%,n:5286",93.3,"0.2.13",67,75.8065,"proto"
"Homo_sapiens","GCA_018504055.1","Catarrhini",84.49,24285731,"C:98.8%[S:98.4%,D:0.4%],F:0.2%,M:1.0%,n:13780",98.8,"0.2.13",245,99.5192,"deutero"
"Teleiodes_luculella","GCA_948473455.1","Lepidoptera",68.66,520963,"C:91.7%[S:85.7%,D:6.0%],F:2.6%,M:5.7%,n:5286",91.7,"0.2.13",67,74.1935,"proto"
"Amphipyra_berbera","GCA_910595045.1","Lepidoptera",71.64,7817512,"C:97.0%[S:96.4%,D:0.6%],F:0.9%,M:2.1%,n:5286",97,"0.2.13",67,77.4194,"proto"
"Eupeodes_luniger","GCA_951509635.1","Diptera",76.12,5195795,"C:93.9%[S:86.6%,D:7.3%],F:2.3%,M:3.8%,n:3285",93.9,"0.2.13",67,82.2581,"proto"
"Lithophane_semibrunnea","GCA_947363905.1","Lepidoptera",70.15,2743605,"C:94.4%[S:90.6%,D:3.8%],F:2.5%,M:3.1%,n:5286",94.4,"0.2.13",67,75.8065,"proto"
"Cantharis_nigra","GCA_958510845.1","Endopterygota",71.88,10907000,"C:97.1%[S:91.1%,D:6.0%],F:1.4%,M:1.5%,n:2124",97.1,"0.2.13",64,75.4098,"proto"
"Petrophora_chlorosata","GCA_951640565.1","Lepidoptera",71.64,8688886,"C:95.1%[S:91.6%,D:3.5%],F:1.8%,M:3.1%,n:5286",95.1,"0.2.13",67,77.4194,"proto"
"Lampris_incognitus","GCA_022059245.1","Clupeocephala",80.7,3708147,"C:92.1%[S:90.3%,D:1.8%],F:2.8%,M:5.1%,n:3640",92.1,"0.2.13",114,91.0891,"deutero"
"Homo_sapiens","GCA_018504645.1","Catarrhini",74.29,30220240,"C:95.7%[S:95.3%,D:0.4%],F:0.2%,M:4.1%,n:13780",95.7,"0.2.13",245,87.5,"deutero"
"Cantharis_rustica","GCA_911387805.1","Endopterygota",71.88,17823022,"C:96.4%[S:92.4%,D:4.0%],F:1.7%,M:1.9%,n:2124",96.4,"0.2.13",64,75.4098,"proto"
"Aplocera_efformata","GCA_921293045.1","Lepidoptera",67.16,12527553,"C:97.1%[S:96.6%,D:0.5%],F:0.9%,M:2.0%,n:5286",97.1,"0.2.13",67,72.5806,"proto"
"Aquila_chrysaetos_chrysaetos","GCA_900496995.4","Neoaves",82.17,21924221,"C:95.9%[S:95.3%,D:0.6%],F:0.9%,M:3.2%,n:8338",95.9,"0.2.13",129,92.9825,"deutero"
"Mytilus_edulis","GCA_019925275.1","Mollusca",82.69,490737,"C:81.8%[S:70.7%,D:11.1%],F:3.0%,M:15.2%,n:5295",81.8,"0.2.13",52,82.6923,"proto"
"Bombylius_discolor","GCA_939192785.1","Diptera",64.18,185253,"C:80.1%[S:78.5%,D:1.6%],F:1.7%,M:18.2%,n:3285",80.1,"0.2.13",67,69.3548,"proto"
"Andrena_dorsata","GCA_929114765.1","Endopterygota",57.81,3163234,"C:74.7%[S:74.1%,D:0.6%],F:1.2%,M:24.1%,n:5991",74.7,"0.2.13",64,60.6557,"proto"
"Ostrea_denselamellosa","GCA_024699665.1","Mollusca",96.15,13952798,"C:85.7%[S:85.1%,D:0.6%],F:3.6%,M:10.7%,n:5295",85.7,"0.2.13",52,96.1538,"proto"
"Gambusia_affinis","GCA_019740435.1","Clupeocephala",82.46,12906370,"C:95.5%[S:94.1%,D:1.4%],F:1.1%,M:3.4%,n:3640",95.5,"0.2.13",114,93.0693,"deutero"
"Dendrolimus_pini","GCA_949752895.1","Lepidoptera",73.13,6867045,"C:93.3%[S:92.7%,D:0.6%],F:1.5%,M:5.2%,n:5286",93.3,"0.2.13",67,79.0323,"proto"
"Bombus_confusus","GCA_014737475.1","Endopterygota",68.75,411713,"C:93.7%[S:93.5%,D:0.2%],F:2.4%,M:3.9%,n:5991",93.7,"0.2.13",64,72.1311,"proto"
